exam_name,about,full_exam_name,short_exam_name,conducting_body,freq_of_conduct,exam_level,languages,mode_of_application,application_fee,mode_of_exam,mode_of_counselling,exam_duration,number_of_seats,education,age,website_link,exam_pattern
LIC ADO Exam,"Life Insurance Corporation of India (LIC) conducts the LIC ADO exam in online mode. Candidates between 21 to 30 years of age holding graduation degree can apply for LIC ADO. Candidates can apply for LIC ADO in online mode along with the payment of application fee. The exam of LIC ADO will be conducted in three phases - Prelims Online, Mains Online and interview. The online exam of LIC ADO Prelims is conducted for three paper - paper I, II, and III. Paper I includes Reasoning Ability, Paper II includes Numerical Ability while Paper III combines English Language. All those candidates who will qualify Prelims exam of LIC ADO will be further called for second round of Test which is Mains online and those will clear second stage of examination, will be invited for the Interview. Candidates who qualify in the interview round will be shortlisted for the final recruitment of LIC ADO.",Life Insurance Corporation of India Apprentice Development Officers,LIC ADO,Life Insurance Corporation of India,Vacancy Based,National Level Exam,"English, Hindi",Online,600 Rs ,Online,Online / Offline,3 Hours,9294 Seats, : Candidate must hold a graduation degree in any discipline.," : The applicant must be between 21 to 30 years of age. However, relaxation in the upper age limit is provided to the reserved category candidates.",https://www.licindia.in/,"The exam conducting authority issues the admit card of LIC ADO to all those candidates who successfully fill the application form. LIC ADO admit card is issued by the examination authority in online mode. In order to download LIC ADO admit card candidates must click on the link of admit card and fill in the registration number/roll number and date of birth/password in the space provided. A print out of LIC ADO admit card must be taken out and carried to the exam centre on the day of the examination.,Along with the admit card, candidates must also carry one of the prescribed photo ID proofs – voter ID proof, PAN card, Aadhaar card, passport, and Driving license. The examination authority will issue a separate admit card for LIC ADO interview. LIC ADO admit card for an interview will be issued to only those candidate who will qualify in the mains examination."
Indian Coast Guard Assistant Commandant Exam,"Indian Coast Guard (ICG) every year conducts a recruitment exam for the various posts of Assistant Commandant. The Indian Coast Guard Assistant Commandant recruitment process is held twice every year. The Indian Coast Guard Assistant Commandant notification 2024 has been released. Candidates were able to fill online applications form for Indian Coast Guard Assistant Commandant 2024 till February 9, 2023. ",Indian Coast Guard Assistant Commandant Exam,Indian Coast Guard Assistant Commandant,Indian Coast Guard,Vacancy Based,National Level Exam,English,Online,250 Rs ,NA,Offline,NA,50 Seats,NA,NA,NA,NA
CSIR UGC NET Exam," The National Testing Agency (NTA) has released the CSIR UGC NET notification 2023 for December 2022 and June 2023 sessions online on March 10 on the official website. NTA also released the CSIR UGC NET application form 2023 at csirnet.nta.nic.in. The last date to submit the CSIR UGC NET 2023 application form by April 10, 2023. Applicants have to pay the required application fee of RS 1000 (general/EWS), Rs 500 (OBC-NCL*) and Rs 250 (SC/ST). ",CSIR UGC Test for JRF and Eligibility for Lectureship,CSIR UGC NET,National Testing Agency (NTA),2 times a year,NA,"English, Hindi",Online,1000 Rs ,Online,Online / Offline,3 Hours,NA,NA,NA,NA,NA
UPSSSC PET Exam,The Uttar Pradesh Subordinate Services Selection Commission conducts the UPSSSC PET exam. UPSSSC will release the UPSSSC PET 2022 notification on the UPSSSC official website - upsssc.gov.in tentatively by last week of May 2022. Candidates willing to appear for the UPSSSC PET 2022 exam can register through the UPSSSC one time registration page. The UPSSSC PET login details will be sent to the candidates on the registered mobile number and email id. ,Uttar Pradesh Subordinate Service Selection Commission Preliminary Eligibility Test,UPSSSC PET,Uttar Pradesh Subordinate Service Selection Commission,Once a year,State Level Exam,"English, Hindi",Offline / Online,185 Rs ,NA,NA,2 Hours,NA,NA,NA,NA,"The Uttar Pradesh Subordinate Services Selection Commission (UPSSSC) will release the UPSSSC PET admit card in online mode on the official website - upsssc.gov.in. Candidates can download the admit card for UPSSSC 2022 PET using the registration number and date of birth.  The hall ticket for UPSSSC PET 2022 exam will include all the important details such as candidates name, exam centre details, UPSSSC PET exam date and other important instructions. Candidates appearing in the UPSSSC PET exam must carry the hall ticket and valid photo ide proof to the exam centre of UPSSSC PET 2022.,The UPSSSC PET exam will be conducted in two shifts. Check the table to know about shift timing."
IBPS Clerk Exam," Institute of Banking Personnel Selection will release the IBPS Clerk notification 2023 in online mode on the official website. Along with the notification, all important dates and IBPS 2023 vacancy details will also be mentioned by the IBPS. The IBPS Clerk application form 2023 link will be activated online at ibps.in. Candidates who fulfill the minimum eligibility criteria will be able to fill out the IBPS Clerk 2023 application form.",Institute of Banking Personnel Selection Common Written Examination for Clerk,IBPS Clerk,Institute of Banking Personnel Selection,Once a year,NA,"English, Hindi",Online,850 Rs ,Online,Online,3 Hours 24 Minutes,NA,NA,NA,NA,NA
SBI PO Exam," The State Bank of India has announced the SBI PO mains result 2023 online on March 10 on the official website at sbi.co.in. The SBI PO mains exam 2022 was held on January 30. SBI issued the SBI PO mains admit card 2022 in online on January 19. Earlier, the exam authorities has declared the SBI PO result 2022 for prelims in online on January 17. ",State Bank of India Probationary Officer Examination,SBI PO,State Bank of India,Vacancy Based,NA,"English, Hindi",Online,750 Rs ,Online,Online,NA,1673 Seats,NA,NA,NA,NA
NDA Exam,"  The Union Public Service Commission will issue the UPSC NDA 1 admit card 2023 online soon on the official website at upsc.gov.in. The NDA 1 2023 exam is scheduled to be held on April 16, 2023. The commission deactivated the UPSC NDA 1 2023 application form withdrawal and correction facility link online on January 24 at upsc.gov.in.  ",National Defence Academy & Naval Academy Examination,NDA,Union Public Service Commission,2 times a year,NA,"English, Hindi",Online,100 Rs ,Offline,Offline,5 Hours,395 Seats,NA,NA,NA,NA
IBPS PO Exam," The Institute of Banking Personnel Selection will release the IBPS PO notification 2023 soon on the official website - ibps.in. Along with the notification, the IBPS PO application form 2023 will also be released in online mode on the official website. The exam authorities is scheduled to conduct the IBPS PO exam 2023 for prelims on September 23, 30 and October 1, 2023 and IBPS PO mains exam is scheduled to be held on November 5, 2023. ",Institute of Banking Personnel Selection Common Written Examination for Probationary Officers/ Management Trainees,IBPS PO,Institute of Banking Personnel Selection,Once a year,NA,"English, Hindi",Online,850 Rs ,Online,Online / Offline,NA, : 4252 Seats ,NA,NA,NA,NA
MPPSC State Engineering Services Exam,"Madhya Pradesh Public Service Commission (MPPSC) conducts the State Engineering Service Exam in three phases - prelims, mains and interview. Candidates between 21 to 40 years of age and must hold a Bachelor's Degree in Engineering from any recognized university can apply for the available posts. The application form of  MPPSC State Engineering Service Exam 2022 can be filled by the eligible candidates in online mode only. Along with the filling of the application form, candidates must also pay the application fee of Rs. 1200 (general candidates) and Rs. 600 (SC/ST/OBC/candidates domiciled in MP). MPPSC State Engineering Service Exam 2022 is conducted at various centres in Madhya Pradesh. All those candidates who qualify in the prelims exam of  MPPSC State Engineering Service Exam have to appear in the mains examination. The mains qualified candidates have to further appear for an interview which will be marked out of 75. Candidates who qualify in the interview are shortlisted for the final recruitment of MPPSC State Engineering Service. Candidates who qualify for the available post are given a pay of Rs. 15600 - 39100 + 5400 grade pay. Along with this, various allowances are also provided as prescribed by the examination authority.",Madhya Pradesh PSC State Engineering Service Exam,MPPSC State Engineering Services,Madhya Pradesh Public Service Commission,Once a year,NA,"English, Hindi",NA,NA,NA,NA,NA,36 Seats,NA,NA,NA,The 
EXIM Bank AO Exam,"Export-Import Bank of India conducts the recruitment process for the post of Administrative Officers in 19 offices in India. The EXIM AO 2020 recruitment has been cancelled in view of the COVID-19 fear. The conducting authorities releases notification for the posts of Chief Manager (MM III), Manager (MM II), Deputy Manager (JM I), Officers on Contract - IT, and Administrative Officer. Candidates willing to apply for EXIM Bank for the AO posts must fulfil the eligibility conditions as prescribed to the Bank. The application form of EXIM Bank recruitment is available on the official website. The EXIM Bank conducts the entrance test in offline mode. Candidates who qualify the written test are shortlisted for Personal Interview based on the performance in the written test. The selected candidates are posted at Bank’s office in Mumbai or its branches located across India.",Export-Import Bank of India Administrative Officer,EXIM Bank AO,Export–Import Bank of India,Once a year,NA,English,Online,600 Rs ,Offline,Offline,NA,NA,NA,NA,NA,NA
