exam_name,exam_link,overview,upcoming_date,conducting_body,exam_level,exam_frequency,mode_of_exam,exam_pattern,eligibility_criteria,courses_offered,application_fees,exam_duration,total_marks,total_questions,marking_scheme,medium_of_exam,colleges_accepting_exam_score,official_website,contact_details,latest_updates
Joint Entrance Examination (Main) or JEE Main,https://www.shiksha.com/engineering/jee-main-exam,,"19 Jun '23 - , ,30 Jun '23,JEE Main 2023 Counselling",National Testing Agency (NTA),Undergraduate Exam at the National level,Twice a year (January and April),"Computed Based Test (CBT) for BE/ BTech/ BArch/ BPlan,Pen and paper-based test (PBT) for Drawing section in BArch",NA,NA,"BE/BTech, BArch, BPlan","INR 1000 (Male unreserved/OBC/EWS category),INR 800 (Female unreserved/OBC/EWS category),INR 500 (SC/ST/PwD/Transgender category)","3 hours for BTech/ BArch/ BPlan,3.5 hours for BArch and B.Planning both","Paper-1: BE/BTech (300 marks),Paper-2A: BArch (400 marks),Paper-2B: BPlan (400 marks)","BE/BTech: 90,BArch: 82,BPlan: 105","+4 for each correct response,-1 for each incorrect response,No marks for unattempted questions","English, Hindi, Assamese, Bengali, Gujarati, Kannada, Marathi, Malayalam, Odia, Punjabi, Tamil, Telugu and Urdu","All NIT, IIIT, and CFTIs",jeemain.nta.nic.in,"0120-6895200,jeemain@nta.ac.in and write at JEE (Main) Query Redressal System (QRS), 8178359845 | 8287471852 | 9650173668 | 9599676953 | 8287471852",JEE Main 2023: NTA has declared 
COMEDK UGET,https://www.shiksha.com/engineering/comedk-uget-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AP EAMCET,https://www.shiksha.com/engineering/ap-eamcet-exam,,"6 May '23 - , ,12 May '23,AP EAMCET 2023 Application form last date with late fee INR 5000","Jawaharlal Nehru Technological University (JNTU), Kakinada",State Level Exam,NA,Online,NA,NA,NA,NA,3 hours,NA,160 ,NA,NA,NA,https://cets.apsche.ap.gov.in/,NA,AP EAMCET 2023:
BITSAT,https://www.shiksha.com/engineering/bitsat-exam,,"10 May '23 - , ,14 May '23,BITSAT 2023 Slot Booking - Session I",BITS Pilani,University-based National Level Exam,Twice a year,NA,NA,NA,NA,NA,3 hours,NA,NA,NA,NA,NA,bitsadmission.com,NA,
"Kerala Engineering, Agricultural and Medical Entrance Exam (KEAM)",https://www.shiksha.com/engineering/keam-exam,,"17 May '23,KEAM 2023 exam date",Office of the Commissioner for Entrance Examinations (CEE),State-level,Once a year,"Offline, pen and paper-based",NA,NA,BTech,,"Paper I - 2.5 hrs,Paper II - 2.5 hrs,Total - 5 hrs",2 papers of 960 marks in total,Each paper carries 120 questions.,,NA,"175 Engineering and architecture colleges,53 Medical and dental colleges,15 BHMS colleges,17 BAMS colleges,2 BSMS and BUMS colleges,1 Ayurveda/Siddha/Unani college,57 BPharm colleges,10 agricultural colleges,7 Veterinary colleges,2 Fisheries and ocean colleges",cee.kerala.gov.in,"CEE Help Line Number (09:30 AM to 05:30 PM) - 0471-2525300,Citizen Call Centre (24 Hours Help Line Numbers) - 155300, 0471-2335523,E-mail: ceekinfo.cee@kerala.gov.in,Address: Office of The Commissioner for Entrance Examinations Fifth Floor, Housing Board Buildings Santhi Nagar, Thiruvananthapuram-695 001",KEAM 2023: CEE has released 
WBJEE,https://www.shiksha.com/engineering/wbjee-exam,,"May '23,WBJEE 2023 result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WBJEE 2023
KCET,https://www.shiksha.com/engineering/kcet-exam,,"20 May '23 - , ,21 May '23,KCET exam date 2023",Karnataka Examination Authority (KEA),State Level Exam,NA,Offline,NA,NA,NA,NA,3 hours,NA,NA,NA,NA,NA,NA,NA,KCET 2023 -
Maharashtra Common Entrance Test or MHT CET,https://www.shiksha.com/engineering/mht-cet-exam,"Maharashtra Common Entrance Test (MHT CET), is a state-level entrance test used to select applicants for admission to engineering and pharmacy programs at various colleges throughout Maharashtra. The exam is conducted every year by the Maharashtra State Common Entrance Test Cell.","5 May '23 - , ,31 May '23,MHT CET 2023 Admit Card",Maharashtra State Common Entrance Test Cell,State-Level Undergraduate Examination,Once a year,Online as Computer Based Test (CBT),NA,NA,"BE/BTech, B. Pharma, D. Pharma",NA,,,,,"English, Hindi, Marathi, Urdu",Around 400 Institutes,cetcell.mahacet.org,": maharashtra.cetcell@gmail.com,: 022-2264 1150 | 2264 1151 | 2262 0601 | 2269 0602",MHT CET 2023: The Maharashtra CET Cell has released MHT CET 2023 admit card for PCM group. The direct link for MHT CET hall ticket download is provided below. MHT CET 2023 admit card download link has been activated at mhtcet2023.mahacet.org. 
,https://www.shiksha.com/university/imu-chennai-indian-maritime-university-imuc/imucet-exam,,"14 Apr '23 - , ,18 May '23,IMU CET 2023 Registration window",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IMU CET 2023:
VITEEE,https://www.shiksha.com/engineering/viteee-exam,,"26 Apr '23 - , ,9 May '23,VITEEE 2023 counselling - Rank 20,001 to 45,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, process
