website_link,college_name,course_name,course_duration,course_type,fees,seats
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",BE Marine Engineering,4 Years ,Full time,NA,300
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",BE Mechanical Engineering,4 Years ,Full time,NA,108
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",MBA Shipping and Logistics Management,2 Years ,Full time,NA,NA
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",BE Electrical and Electronics Engineering,3 Years 10 Months,Full time,NA,54
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",BE Naval Architecture and Off Shore Engineering,4 Years ,Full time,NA,54
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",BE Mining Engineering,4 Years ,Full time,NA,30
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",BE Petroleum Engineering,4 Years ,Full time,NA,30
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",B.Tech Food Processing Technology,4 Years ,Full time,NA,30
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",ME Power Systems,2 Years ,Full time,NA,16
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",ME Naval Architecture and Off Shore Engineering,2 Years ,Full time,NA,16
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",ME Petroleum Engineering,2 Years ,Full time,NA,16
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",ME Thermal and Fluid Engineering,2 Years ,Full time,NA,16
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",Ph.D Naval Architecture and Off Shore Engineering,6 Years ,Full time,NA,16
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",Ph.D Naval Architecture and Off Shore Engineering Part Time,6 Years ,Part time,NA,NA
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",Ph.D Harbour and Ocean Engineering,6 Years ,Full time,NA,NA
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",BBA Shipping,3 Years ,Full time,NA,NA
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",Diploma in Petroleum Engineering,3 Years ,Full time,NA,NA
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",Diploma in Mechanical Engineering,3 Years ,Full time,NA,NA
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",Ph.D Chemistry Part Time,6 Years ,Part time,NA,NA
https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur/courses,"Academy of Maritime Education and Training, Kanathur",Ph.D Marine Engineering Part Time,6 Years ,Part time,NA,NA
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",B.Com Computer Applications,3 Years ,Full time,NA,132
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",B.Com,3 Years ,Full time,NA,132
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",B.Com Corporate Secretaryship,3 Years ,Full time,NA,132
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",BA English,3 Years ,Full time,NA,120
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",B.Com,3 Years ,Full time,NA,120
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",BA English,3 Years ,Full time,NA,120
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",BBA,3 Years ,Full time,NA,120
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",B.Com,3 Years ,Full time,NA,120
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",B.Sc Mathematics,3 Years ,Full time,NA,120
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",B.Sc Mathematics,3 Years ,Full time,NA,120
https://www.careers360.com/colleges/amrita-school-of-business-coimbatore/courses,"Amrita School of Business, Coimbatore",Ph.D Finance,6 Years ,Full time,NA,NA
https://www.careers360.com/colleges/ayya-nadar-janaki-ammal-polytechnic-college-sivakasi/courses,"Ayya Nadar Janaki Ammal Polytechnic College, Sivakasi",Diploma in Architecture Assistantship,3 Years ,Full time,NA,60
https://www.careers360.com/colleges/ayya-nadar-janaki-ammal-polytechnic-college-sivakasi/courses,"Ayya Nadar Janaki Ammal Polytechnic College, Sivakasi",Diploma in Computer Engineering,3 Years ,Full time,NA,60
https://www.careers360.com/colleges/ayya-nadar-janaki-ammal-polytechnic-college-sivakasi/courses,"Ayya Nadar Janaki Ammal Polytechnic College, Sivakasi",Diploma in Electrical and Electronics Engineering Self Financing,3 Years ,Full time,NA,60
https://www.careers360.com/colleges/aarupadai-veedu-institute-of-technology-kancheepuram/courses,"Aarupadai Veedu Institute of Technology, Kancheepuram",BE Computer Science and Engineering,4 Years ,Full time," ,₹ ,7.40 L",180
https://www.careers360.com/university/annamalai-university-annamalai-nagar/courses,"Annamalai University, Annamalai Nagar",B.P.Ed,2 Years ,Full time," ,₹ ,46.76 K",200
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",B.Ed,2 Years ,Full time," ,₹ ,36.70 K",113
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",B.Sc Microbiology,3 Years ,Full time,NA,88
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",B.Sc Computer Science,3 Years ,Full time,NA,88
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",BCA,3 Years ,Full time,NA,80
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",B.Sc Physics,3 Years ,Full time,NA,80
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",B.Sc Chemistry,3 Years ,Full time,NA,80
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",B.Sc Information Technology,3 Years ,Full time,NA,80
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",B.Sc Computer Science,3 Years ,Full time,NA,80
https://www.careers360.com/university/alagappa-university-karaikudi/courses,"Alagappa University, Karaikudi",BA Tamil,3 Years ,Full time,NA,72
https://www.careers360.com/colleges/amrita-school-of-business-coimbatore/courses,"Amrita School of Business, Coimbatore",Ph.D Economics,6 Years ,Full time,NA,NA
https://www.careers360.com/colleges/amrita-school-of-business-coimbatore/courses,"Amrita School of Business, Coimbatore",MBA,2 Years ,Full time," ,₹ ,10.60 L",NA
https://www.careers360.com/colleges/amrita-school-of-business-coimbatore/courses,"Amrita School of Business, Coimbatore",Ph.D Marketing,6 Years ,Full time,NA,NA
https://www.careers360.com/colleges/amrita-school-of-business-coimbatore/courses,"Amrita School of Business, Coimbatore",Ph.D Operations,6 Years ,Full time,NA,NA
https://www.careers360.com/colleges/amrita-school-of-business-coimbatore/courses,"Amrita School of Business, Coimbatore",Ph.D Organizational Behaviour and Human Resources,6 Years ,Full time,NA,NA
https://www.careers360.com/colleges/amrita-school-of-business-coimbatore/courses,"Amrita School of Business, Coimbatore",Ph.D Management Strategy,6 Years ,Full time,NA,NA
https://www.careers360.com/colleges/amrita-school-of-business-coimbatore/courses,"Amrita School of Business, Coimbatore",Ph.D Information Technology,6 Years ,Full time,NA,NA
https://www.careers360.com/colleges/ayya-nadar-janaki-ammal-polytechnic-college-sivakasi/courses,"Ayya Nadar Janaki Ammal Polytechnic College, Sivakasi",Diploma in Mechanical Engineering Self Financing,3 Years ,Full time,NA,60
https://www.careers360.com/colleges/ayya-nadar-janaki-ammal-polytechnic-college-sivakasi/courses,"Ayya Nadar Janaki Ammal Polytechnic College, Sivakasi",Diploma in Electronics and Communication Engineering,3 Years ,Full time,NA,60
https://www.careers360.com/colleges/aarupadai-veedu-institute-of-technology-kancheepuram/courses,"Aarupadai Veedu Institute of Technology, Kancheepuram",BE Mechanical Engineering,4 Years ,Full time," ,₹ ,7.40 L",180
