website_link,college_name,course_name,2021 closing rank,2020 closing rank,Category,opening_home_state_rank,closing_home_state_rank
https://www.careers360.com/university/annamalai-university-annamalai-nagar/cut-off,"Annamalai University, Annamalai Nagar",BE Chemical Engineering,62088,52983,General,3077,62088
https://www.careers360.com/university/annamalai-university-annamalai-nagar/cut-off,"Annamalai University, Annamalai Nagar",BE Civil Engineering,59663,73331,General,15987,59663
https://www.careers360.com/university/annamalai-university-annamalai-nagar/cut-off,"Annamalai University, Annamalai Nagar",BE Civil and Structural Engineering,93237,91463,General,25073,93237
https://www.careers360.com/university/annamalai-university-annamalai-nagar/cut-off,"Annamalai University, Annamalai Nagar",BE Computer Science and Engineering,18507,52242,General,1162,18507
https://www.careers360.com/university/annamalai-university-annamalai-nagar/cut-off,"Annamalai University, Annamalai Nagar",BE Computer Science and Engineering Data Science,36812,NA,General,13186,36812
https://www.careers360.com/university/annamalai-university-annamalai-nagar/cut-off,"Annamalai University, Annamalai Nagar",BE Electrical and Electronics Engineering,56154,85688,General,12909,56154
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",B.Tech Artificial Intelligence and Data Science,12434,14941,General,3875,12434
https://www.careers360.com/university/annamalai-university-annamalai-nagar/cut-off,"Annamalai University, Annamalai Nagar",BE Electronics and Communication Engineering,35791,55462,General,6487,35791
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",B.Tech Artificial Intelligence and Machine Learning,15012,NA,General,2152,15012
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",B.Tech Biotechnology,14188,19683,General,7178,14188
https://www.careers360.com/university/annamalai-university-annamalai-nagar/cut-off,"Annamalai University, Annamalai Nagar",BE Electronics and Instrumentation Engineering,74499,107277,General,33387,74499
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",B.Tech Computer Science and Business Systems,14554,20765,General,8201,14554
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",B.Tech Fashion Technology,28378,46511,General,5677,28378
https://www.careers360.com/university/annamalai-university-annamalai-nagar/cut-off,"Annamalai University, Annamalai Nagar",BE Information Technology,28145,68775,General,5717,28145
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",B.Tech Food Technology,24297,23278,General,4591,24297
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",B.Tech Information Technology,11035,16289,General,3909,11035
https://www.careers360.com/university/annamalai-university-annamalai-nagar/cut-off,"Annamalai University, Annamalai Nagar",BE Machine Learning,22558,47196,General,2571,22558
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",B.Tech Textile Technology,45834,42825,General,37569,45834
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",BE Aeronautical Engineering,24567,34817,General,7918,24567
https://www.careers360.com/university/annamalai-university-annamalai-nagar/cut-off,"Annamalai University, Annamalai Nagar",BE Manufacturing Engineering,102039,109371,General,53530,102039
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",BE Agriculture Engineering,23082,18008,General,3238,23082
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",BE Automobile Engineering,37292,66737,General,30663,37292
https://www.careers360.com/university/annamalai-university-annamalai-nagar/cut-off,"Annamalai University, Annamalai Nagar",BE Mechanical Engineering,84362,85682,General,36297,84362
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",BE Biomedical Engineering,19263,23845,General,7284,19263
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",BE Civil Engineering,38008,36833,General,24120,38008
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",BE Computer Science and Engineering,7700,11670,General,2453,7700
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",BE Computer Technology,16724,23035,General,7055,16724
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",BE Electrical and Electronics Engineering,18276,28036,General,11996,18276
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",BE Electronics and Communication Engineering,14071,18277,General,4960,14071
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",BE Electronics and Instrumentation Engineering,23245,37177,General,17718,23245
https://www.careers360.com/colleges/annapoorana-engineering-college-salem/cut-off,"Annapoorana Engineering College, Salem",BE Automobile Engineering,136532,104541,General,116368,136532
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",BE Information Science and Engineering,16967,30451,General,12501,16967
https://www.careers360.com/colleges/annapoorana-engineering-college-salem/cut-off,"Annapoorana Engineering College, Salem",BE Computer Science and Engineering,72465,101046,General,29597,72465
https://www.careers360.com/colleges/annapoorana-engineering-college-salem/cut-off,"Annapoorana Engineering College, Salem",BE Electrical and Electronics Engineering,136827,102959,General,28256,136827
https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode/cut-off,"Bannari Amman Institute of Technology, Erode",BE Mechanical Engineering,37836,50486,General,10215,37836
https://www.careers360.com/colleges/annapoorana-engineering-college-salem/cut-off,"Annapoorana Engineering College, Salem",BE Electronics and Communication Engineering,126090,110110,General,45599,126090
https://www.careers360.com/colleges/annapoorana-engineering-college-salem/cut-off,"Annapoorana Engineering College, Salem",BE Mechanical Engineering,132371,101667,General,63911,132371
