college_name,about,address,affiliated,state,college_type,established,exam,courses,accreditations,approvals,gender,student_count,faculty_count,gender_percentage,campus_size,website_link
"Annapoorana Engineering College, Salem",NA,"Annapoorana Engineering College, NH - 47, Sankari Main Road, Periaseeragapadi, Salem- 636308, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2010,NA,"2, Degrees and , ,8, Courses",NAAC,Affiliated,Co-ed,565,92,Male 71% and Female 29%,"19, acres",https://www.careers360.com/colleges/annapoorana-engineering-college-salem
Academy of Scientific and Innovative Research Chennai,NA,"Academy of Scientific and Innovative Research, Chennai, Training and Development Complex, CSIR Campus, CSIR Road, Taramani, Chennai – 600 113, Tamil Nadu, India",NA,Tamil Nadu,Government,2010,NA,"5, Degrees and , ,12, Courses",NA,NA,Co-ed,4879,1625,NA,NA,https://www.careers360.com/university/academy-of-scientific-and-innovative-research-chennai
"Auroville Institute of Applied Technology, Villupuram",NA,"Auroville Institute of Applied Technology, Irumbai Main Road, (Opp. TN-E.B.) Irumbai and P.O. Vanur T.K. Villupuram District, Tamil Nadu, 605111, India","Pondicherry University, Puducherry",Tamil Nadu,Private,2002,NA,"1, Degrees and , ,3, Courses",NA,Affiliated,Co-ed,NA,NA,NA,NA,https://www.careers360.com/colleges/auroville-institute-of-applied-technology-villupuram
"Academy of Maritime Education and Training, Kanathur",NA,"Academy of Maritime Education and Training, 135, East Coast Road, Kanathur-603112, Tamil Nadu, India",NA,Tamil Nadu,Private,2007,"JEE Main,TANCET,AMET Entrance Exam","11, Degrees and, ,50, Courses",NAAC,UGC,Co-ed,3329,219,Male 97% and Female 3%,"10, acres",https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur
"Annamalai University, Annamalai Nagar"," is a state university established in ,. The university has ten faculties, including Arts, Science, Marine Sciences, Indian Languages, Engineering and Technology, Education, Fine Arts, Agriculture, Medicine, and Dentistry, as well as , departments of study that offer programmes at the ,and, levels in a variety of disciplines. Annamalai University , has ,and, memorandums of understanding with research partners such as ,and,. Annamalai University has , with the , in Malaysia, the University of Highlands and Islands in Scotland, and other universities. ","Annamalai University, Annamalai Nagar, Tamil Nadu - 608002, India",NA,Tamil Nadu,Government,1929,TANCET,"47, Degrees and, ,422, Courses",NAAC,UGC,Co-ed,167559,1622,Male 66% and Female 34%,"395, acres",https://www.careers360.com/university/annamalai-university-annamalai-nagar
"Alagappa University, Karaikudi"," is a State University owned by the government that was established in the year ,. The university offers a total of , courses across all levels; diploma, ,and,. Admissions to different courses at the university are done either on the basis of an entrance test conducted by the university or on the basis of marks obtained in the qualifying examination. The university also offers multiple scholarships through the government of Tamil Nadu and the Central government. The university also offers multiple facilities to its students for a better and more comfortable college life experience.","Alagappa University, Karaikudi - 630003, Tamil Nadu, India",NA,Tamil Nadu,Government,1985,NA,"31, Degrees and, ,781, Courses",NAAC,UGC,Co-ed,53049,205,Male 14% and Female 86%,"440, acres",https://www.careers360.com/university/alagappa-university-karaikudi
"Amrita School of Business, Coimbatore","Amrita School of Business (ASB), Coimbatore was established in the year 1996. ASB Coimbatore is a constituent school of Amrita Vishwa Vidyapeetham Coimbatore which is ranked 5th in the NIRF 2022 raking university category. It is a private co-educational institution. The other campuses of , are located in Amritpuri, Chennai, Bengaluru, Kochi and Mysuru. ASB has bagged the the 27th position in the Management category In the NIRF 2022 ranking.","Amrita School of Business, Amrita Vishwa Vidyapeetham Coimbatore Campus, Amritanagar, Ettimadai, Coimbatore - 641112, Tamil Nadu, India","Amrita Vishwa Vidyapeetham, Coimbatore",Tamil Nadu,Private,1996,NA,"2, Degrees and , ,8, Courses",NA,Constituent,Co-ed,NA,21,NA,NA,https://www.careers360.com/colleges/amrita-school-of-business-coimbatore
"Bannari Amman Institute of Technology, Erode","was established in 1996 by Bannari Amman Group. Bannari Amman Institute of Technology Erode is affiliated with ,. Bannari Amman Institute of Technology is recognised by National Assessment and Accreditation Council (NAAC) as an ‘A+’ Grade institute, also approved by All India Council for Technical Education (AICTE). BIT Erode campus is spread across 181 acres of land in the Erode district of Tamil Nadu. Bannari Amman Institute of Technology campus infrastructure includes modern classrooms, auditorium and seminar halls, laboratories for different subjects. BIT Erode offers facilities in sports, cafeteria, hostel and many more. Bannari Amman Institute of Technology offers ,/, courses at UG level and ME/, and , courses at PG level. Bannari Amman Institute of Technology offers MS and , programmes in different disciplines.","Bannari Amman Institute of Technology, Alathukombai Post, Sathyamangalam - 638401, Erode District, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1996,TANCET,"5, Degrees and, ,64, Courses",NAAC,Autonomous,Co-ed,7246,612,Male 66% and Female 34%,"181, acres",https://www.careers360.com/colleges/bannari-amman-institute-of-technology-erode
"BS Abdur Rahman Crescent Institute of Science and Technology, Chennai","B.S Abdur Rahman Crescent Institute of Science and Technology (BSAU), Chennai is deemed to be a university located in Tamil Nadu. The university is accredited by the National Assessment and Accreditation Council with a grade of ‘A+’. The institute is structured around 12 schools of study namely the School of Mechanical Sciences, School of Infrastructure, School of Electrical and Communication Sciences, School of Computer Information and Mathematical Sciences, School of Physical and Chemical Sciences, School of Social Sciences and Humanities, School of Arabic and Islamic Studies, School of Life Sciences, Crescent School of Pharmacy, Crescent School of Architecture, and Crescent School of Business. B.S Abdur Rahman Crescent Institute of Science and Technology is recognised by the University Grants Commission (UGC).  ","BS Abdur Rahman Crescent Institute of Science and Technology, GST Road, Vandalur, Chennai -600048. Tamil Nadu. India",NA,Tamil Nadu,Private,2008,"JEE Main,TANCET,GMAT","22, Degrees and, ,115, Courses",NAAC,UGC,Co-ed,6662,519,Male 76% and Female 24%,"50, acres",https://www.careers360.com/university/bs-abdur-rahman-crescent-institute-of-science-and-technology-chennai
"C Abdul Hakeem College of Engineering and Technology, Melvisharam",NA,"C Abdul Hakeem College of Engineering and Technology, Melvisharam - 632509, Vellore District, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1998,NA,"4, Degrees and , ,11, Courses",NAAC,Affiliated,Co-ed,1175,147,NA,"44, acres",https://www.careers360.com/colleges/c-abdul-hakeem-college-of-engineering-and-technology-melvisharam
